experiment,configuration,sample,source_file,swiglu_in0_block_w,down_projection_110_cores,ttft_s,total_s,decode_tps,e2e_tps,completion_text_sha256_12
swiglu_k_blocking,k_block_2,1,run_03.json,2,false,0.057860803,4.924253651,26.097358756,25.993786891,5119e79e42b5
swiglu_k_blocking,k_block_2,2,run_04.json,2,false,0.058148973,4.841676946,26.549442319,26.437121152,5119e79e42b5
swiglu_k_blocking,k_block_2,3,run_05.json,2,false,0.058468698,4.840591729,26.557242291,26.443048116,5119e79e42b5
swiglu_k_blocking,k_block_2,4,run_06.json,2,false,0.058766839,4.887850772,26.298983775,26.187378865,5119e79e42b5
swiglu_k_blocking,k_block_2,5,run_07.json,2,false,0.058098292,4.819232599,26.674315785,26.560245303,5119e79e42b5
swiglu_k_blocking,k_block_2,6,run_08.json,2,false,0.058990976,4.938312253,26.028210235,25.919786648,5119e79e42b5
swiglu_k_blocking,k_block_2,7,run_09.json,2,false,0.059154669,5.040970559,25.492712458,25.391935641,5119e79e42b5
swiglu_k_blocking,k_block_2,8,run_10.json,2,false,0.058600797,5.020204874,25.596560715,25.496967397,5119e79e42b5
swiglu_k_blocking,k_block_2,9,run_11.json,2,false,0.057667187,4.992257925,25.736683495,25.639700897,5119e79e42b5
swiglu_k_blocking,k_block_2,10,run_12.json,2,false,0.058958883,4.983599274,25.788685044,25.684248063,5119e79e42b5
swiglu_k_blocking,k_block_2,11,run_13.json,2,false,0.059493655,4.843475335,26.546924402,26.427305013,5119e79e42b5
swiglu_k_blocking,k_block_2,12,run_14.json,2,false,0.058224748,4.845008027,26.531387071,26.418944878,5119e79e42b5
swiglu_k_blocking,k_block_2,13,run_15.json,2,false,0.058658420,4.907319792,26.192796373,26.083484555,5119e79e42b5
swiglu_k_blocking,k_block_2,14,run_16.json,2,false,0.058090625,5.001900969,25.688687705,25.590270738,5119e79e42b5
swiglu_k_blocking,k_block_2,15,run_17.json,2,false,0.058481148,5.012472397,25.635895103,25.536300225,5119e79e42b5
swiglu_k_blocking,k_block_2,16,run_18.json,2,false,0.058030969,4.899125408,26.233737350,26.127112360,5119e79e42b5
swiglu_k_blocking,k_block_2,17,run_19.json,2,false,0.057750482,5.049110570,25.443966727,25.350999592,5119e79e42b5
swiglu_k_blocking,k_block_2,18,run_20.json,2,false,0.057973592,4.951107912,25.954734061,25.852799469,5119e79e42b5
swiglu_k_blocking,k_block_2,19,run_21.json,2,false,0.058368889,4.877180345,26.355046500,26.244672320,5119e79e42b5
swiglu_k_blocking,k_block_2,20,run_22.json,2,false,0.058580058,5.042733921,25.480754305,25.383056494,5119e79e42b5
