configuration,source_revision,sample,source_file,e2e_latency_s,throughput_tokens_s,completion_tokens,output_sha256_12
baseline,7482967,1,run_03.json,7.860109568,16.284760269,128,68e10a82edac
baseline,7482967,2,run_04.json,7.834454536,16.338087024,128,68e10a82edac
baseline,7482967,3,run_05.json,7.843785524,16.318651192,128,68e10a82edac
baseline,7482967,4,run_06.json,7.960822105,16.078741404,128,68e10a82edac
baseline,7482967,5,run_07.json,7.880756378,16.242095791,128,68e10a82edac
baseline,7482967,6,run_08.json,7.833812714,16.339425600,128,68e10a82edac
baseline,7482967,7,run_09.json,7.830383062,16.346582151,128,68e10a82edac
baseline,7482967,8,run_10.json,8.040429115,15.919548343,128,68e10a82edac
baseline,7482967,9,run_11.json,7.823900223,16.360126836,128,68e10a82edac
baseline,7482967,10,run_12.json,7.847238064,16.311471496,128,68e10a82edac
baseline,7482967,11,run_13.json,7.821787834,16.364545129,128,68e10a82edac
baseline,7482967,12,run_14.json,7.810426474,16.388349654,128,68e10a82edac
baseline,7482967,13,run_15.json,7.823419809,16.361131464,128,68e10a82edac
baseline,7482967,14,run_16.json,7.807027102,16.395485546,128,68e10a82edac
baseline,7482967,15,run_17.json,7.881977797,16.239578860,128,68e10a82edac
baseline,7482967,16,run_18.json,7.892573595,16.217777187,128,68e10a82edac
baseline,7482967,17,run_19.json,7.989159346,16.021710729,128,68e10a82edac
baseline,7482967,18,run_20.json,7.912123680,16.177704644,128,68e10a82edac
baseline,7482967,19,run_21.json,7.982803106,16.034467880,128,68e10a82edac
baseline,7482967,20,run_22.json,7.879647017,16.244382487,128,68e10a82edac
baseline,7482967,21,run_23.json,7.951450825,16.097691204,128,68e10a82edac
baseline,7482967,22,run_24.json,7.905146837,16.191982595,128,68e10a82edac
baseline,7482967,23,run_25.json,7.803319693,16.403275150,128,68e10a82edac
baseline,7482967,24,run_26.json,7.801982641,16.406086233,128,68e10a82edac
baseline,7482967,25,run_27.json,7.872896194,16.258311660,128,68e10a82edac
baseline,7482967,26,run_28.json,7.821093798,16.365997303,128,68e10a82edac
baseline,7482967,27,run_29.json,7.800746202,16.408686641,128,68e10a82edac
baseline,7482967,28,run_30.json,7.817185402,16.374179889,128,68e10a82edac
baseline,7482967,29,run_31.json,7.812245131,16.384534517,128,68e10a82edac
baseline,7482967,30,run_32.json,7.872025967,16.260108966,128,68e10a82edac
baseline,7482967,31,run_33.json,7.922776937,16.155951507,128,68e10a82edac
baseline,7482967,32,run_34.json,7.912271976,16.177401432,128,68e10a82edac
compiler-features,9978a9b,1,run_03.json,6.298602343,20.321968754,128,68e10a82edac
compiler-features,9978a9b,2,run_04.json,6.293159485,20.339544915,128,68e10a82edac
compiler-features,9978a9b,3,run_05.json,6.285372734,20.364742938,128,68e10a82edac
compiler-features,9978a9b,4,run_06.json,6.280050755,20.382000879,128,68e10a82edac
compiler-features,9978a9b,5,run_07.json,6.296059370,20.330176778,128,68e10a82edac
compiler-features,9978a9b,6,run_08.json,6.292867899,20.340487367,128,68e10a82edac
compiler-features,9978a9b,7,run_09.json,6.460143089,19.813802609,128,68e10a82edac
compiler-features,9978a9b,8,run_10.json,6.491987705,19.716611585,128,68e10a82edac
compiler-features,9978a9b,9,run_11.json,6.376807928,20.072738813,128,68e10a82edac
compiler-features,9978a9b,10,run_12.json,6.548633099,19.546063747,128,68e10a82edac
compiler-features,9978a9b,11,run_13.json,6.462406158,19.806864017,128,68e10a82edac
compiler-features,9978a9b,12,run_14.json,6.535116673,19.586490405,128,68e10a82edac
compiler-features,9978a9b,13,run_15.json,6.452296495,19.837898040,128,68e10a82edac
compiler-features,9978a9b,14,run_16.json,6.344750881,20.174156936,128,68e10a82edac
compiler-features,9978a9b,15,run_17.json,6.383469343,20.051792077,128,68e10a82edac
compiler-features,9978a9b,16,run_18.json,6.476665735,19.763255544,128,68e10a82edac
compiler-features,9978a9b,17,run_19.json,6.493532181,19.711922023,128,68e10a82edac
compiler-features,9978a9b,18,run_20.json,6.519053936,19.634750879,128,68e10a82edac
compiler-features,9978a9b,19,run_21.json,6.441384792,19.871503431,128,68e10a82edac
compiler-features,9978a9b,20,run_22.json,6.480547428,19.751417827,128,68e10a82edac
compiler-features,9978a9b,21,run_23.json,6.515033960,19.646866122,128,68e10a82edac
compiler-features,9978a9b,22,run_24.json,6.470586777,19.781822641,128,68e10a82edac
compiler-features,9978a9b,23,run_25.json,6.287243128,20.358684625,128,68e10a82edac
compiler-features,9978a9b,24,run_26.json,6.288296223,20.355275176,128,68e10a82edac
compiler-features,9978a9b,25,run_27.json,6.434406996,19.893053095,128,68e10a82edac
compiler-features,9978a9b,26,run_28.json,6.416501999,19.948563878,128,68e10a82edac
compiler-features,9978a9b,27,run_29.json,6.536514521,19.582301790,128,68e10a82edac
compiler-features,9978a9b,28,run_30.json,6.485840082,19.735300035,128,68e10a82edac
compiler-features,9978a9b,29,run_31.json,6.515244484,19.646231283,128,68e10a82edac
compiler-features,9978a9b,30,run_32.json,6.456251860,19.825744531,128,68e10a82edac
compiler-features,9978a9b,31,run_33.json,6.496634960,19.702507650,128,68e10a82edac
compiler-features,9978a9b,32,run_34.json,6.365156651,20.109481514,128,68e10a82edac
expanded-silu,10459b5,1,run_03.json,6.081555843,21.047245688,128,1ab55f92178d
expanded-silu,10459b5,2,run_04.json,6.226789713,20.556338965,128,1ab55f92178d
expanded-silu,10459b5,3,run_05.json,6.319412231,20.255048304,128,1ab55f92178d
expanded-silu,10459b5,4,run_06.json,6.226258278,20.558093527,128,1ab55f92178d
expanded-silu,10459b5,5,run_07.json,6.308250189,20.290888308,128,1ab55f92178d
expanded-silu,10459b5,6,run_08.json,6.307259321,20.294075997,128,1ab55f92178d
expanded-silu,10459b5,7,run_09.json,6.314041615,20.272276905,128,1ab55f92178d
expanded-silu,10459b5,8,run_10.json,6.190968037,20.675280383,128,1ab55f92178d
expanded-silu,10459b5,9,run_11.json,6.231942892,20.539340975,128,1ab55f92178d
expanded-silu,10459b5,10,run_12.json,6.290388823,20.348503663,128,1ab55f92178d
expanded-silu,10459b5,11,run_13.json,6.101002693,20.980157924,128,1ab55f92178d
expanded-silu,10459b5,12,run_14.json,6.274923086,20.398656405,128,1ab55f92178d
expanded-silu,10459b5,13,run_15.json,6.273253202,20.404086344,128,1ab55f92178d
expanded-silu,10459b5,14,run_16.json,6.195016861,20.661767816,128,1ab55f92178d
expanded-silu,10459b5,15,run_17.json,6.301239967,20.313462217,128,1ab55f92178d
expanded-silu,10459b5,16,run_18.json,6.213708401,20.599614875,128,1ab55f92178d
expanded-silu,10459b5,17,run_19.json,6.160904884,20.776168826,128,1ab55f92178d
expanded-silu,10459b5,18,run_20.json,6.240622520,20.510774299,128,1ab55f92178d
expanded-silu,10459b5,19,run_21.json,6.301930189,20.311237376,128,1ab55f92178d
expanded-silu,10459b5,20,run_22.json,6.281829357,20.376230032,128,1ab55f92178d
expanded-silu,10459b5,21,run_23.json,6.174309492,20.731063152,128,1ab55f92178d
expanded-silu,10459b5,22,run_24.json,6.269556522,20.416117080,128,1ab55f92178d
expanded-silu,10459b5,23,run_25.json,6.299997091,20.317469698,128,1ab55f92178d
expanded-silu,10459b5,24,run_26.json,6.203347683,20.634019975,128,1ab55f92178d
expanded-silu,10459b5,25,run_27.json,6.232112169,20.538783084,128,1ab55f92178d
expanded-silu,10459b5,26,run_28.json,6.294397593,20.335544128,128,1ab55f92178d
expanded-silu,10459b5,27,run_29.json,6.193849325,20.665662544,128,1ab55f92178d
expanded-silu,10459b5,28,run_30.json,6.088563919,21.023019829,128,1ab55f92178d
expanded-silu,10459b5,29,run_31.json,6.115514517,20.930373012,128,1ab55f92178d
expanded-silu,10459b5,30,run_32.json,6.061833858,21.115722237,128,1ab55f92178d
