Platform 'tt' is experimental and not all JAX functionality may be correctly supported!
2026-09-23 22:46:29.478 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:228)
2026-09-23 22:46:29.478 | info     |             UMD | Cluster constructor started. (cluster.cpp:378)
2026-09-23 22:46:29.478 | info     |             UMD | Creating TopologyDiscovery for architecture: blackhole (topology_discovery.cpp:95)
2026-09-23 22:46:29.478 | info     |             UMD | Starting topology discovery. (topology_discovery.cpp:114)
2026-09-23 22:46:29.485 | info     |             UMD | Established firmware bundle version: 19.13.1 (topology_discovery.cpp:574)
2026-09-23 22:46:29.485 | info     |             UMD | Completed topology discovery. (topology_discovery.cpp:118)
2026-09-23 22:46:29.485 | warning  |             UMD | Board 0x4613193403b has 1 chips, but expected 2 chips for board type p300. (cluster_descriptor.cpp:1232)
2026-09-23 22:46:29.485 | warning  |             UMD | Board 0x46131935046 has 1 chips, but expected 2 chips for board type p300. (cluster_descriptor.cpp:1232)
2026-09-23 22:46:29.524 | info     |             UMD | Opening local chip ids/PCIe ids: {0, 1}/[0, 2] and remote chip ids {} (cluster.cpp:162)
2026-09-23 22:46:29.524 | info     |             UMD | IOMMU: enabled (cluster.cpp:142)
2026-09-23 22:46:29.524 | info     |             UMD | KMD version: 2.10.0 (cluster.cpp:145)
2026-09-23 22:46:29.524 | info     |             UMD | Cluster constructor completed. (cluster.cpp:574)
2026-09-23 22:46:29.525 | info     |             UMD | Starting devices in cluster (cluster.cpp:1092)
2026-09-23 22:46:29.675 | info     |             UMD | Starting devices in cluster completed. (cluster.cpp:1100)
2026-09-23 22:46:29.719 | info     |     Distributed | Using auto discovery to generate mesh graph. (metal_env.cpp:437)
2026-09-23 22:46:29.719 | info     |     Distributed | Constructing control plane using auto-discovery (no mesh graph descriptor). (metal_env.cpp:499)
2026-09-23 22:46:29.719 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x3) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-23 22:46:29.719 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-23 22:46:29.719 | warning  |          Fabric | TopologyMapper auto-discovery: Downgrading to mesh shape 1x1 (1 total nodes) for 2 physical chips. Some physical chips may not be used. This may indicate connectivity issues, topology mismatches, or insufficient fabric links between chips. Verify your physical chip connectivity and ensure that the fabric links are correctly configured. (topology_mapper.cpp:1706)
2026-09-23 22:46:29.719 | info     |          Fabric | Logical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {0:1} (topology_mapper_utils.cpp:2400)
2026-09-23 22:46:29.719 | info     |          Fabric | Physical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {0:2} (topology_mapper_utils.cpp:2408)
2026-09-23 22:46:30.252 | warning  |           Metal | Opening subset of mmio devices slows down UMD read/write to remote chips. If opening more devices, consider using CreateDevices API. (device_manager.cpp:258)
2026-09-23 22:46:32.453 | info     |           Metal | [Real-time profiler] Device 0 sync complete: 100 samples, frequency=1.350073 GHz, device_time_at_sync=29178443049 cycles (realtime_profiler_manager.cpp:1390)
2026-09-23 22:46:32.464 | critical |          Always | TT_FATAL: Chip 0 logical eth core 0-9 connects to a remote mmio device (assert.hpp:104)
2026-09-23 22:46:32.464 | critical |          Always | TT_FATAL: Chip 0 logical eth core 0-8 connects to a remote mmio device (assert.hpp:104)
2026-09-23 22:46:32.464 | critical |          Always | TT_FATAL: Chip 0 logical eth core 0-4 connects to a remote mmio device (assert.hpp:104)
2026-09-23 22:46:32.464 | critical |          Always | TT_FATAL: Chip 0 logical eth core 0-2 connects to a remote mmio device (assert.hpp:104)
2026-09-23 22:46:32.602 | warning  |           Metal | Opening subset of mmio devices slows down UMD read/write to remote chips. If opening more devices, consider using CreateDevices API. (device_manager.cpp:258)
2026-09-23 22:46:32.650 | info     |           Metal | Enabling program cache on MeshDevice 1 (mesh_device.cpp:1081)
Devices: [TTDevice(id=0, arch=Blackhole)]
PASS sharded add and psum
2026-09-23 22:46:33.465 | info     |    BuildKernels | JIT cache stats: 0/29 hits (0.0%) [0 cached, 9 build-once dedup, 0 merged artifacts, 0 merged genfiles] (build_cache_telemetry.cpp:197)
2026-09-23 22:46:33.465 | info     |    BuildKernels | JIT telemetry: 2 registered TelemetryTokens (build_cache_telemetry.cpp:230)
2026-09-23 22:46:33.471 | info     |          Device | Closing user mode device drivers (tt_cluster.cpp:513)
2026-09-23 22:46:33.471 | info     |             UMD | Closing devices in cluster (cluster.cpp:1105)
2026-09-23 22:46:33.650 | info     |             UMD | Closing devices in cluster completed. (cluster.cpp:1114)
2026-09-23 22:46:33.650 | info     |             UMD | Cluster destructor started. (cluster.cpp:808)
2026-09-23 22:46:33.650 | info     |             UMD | Cluster destructor completed. (cluster.cpp:811)
