exec ${PAGER:-/usr/bin/less} "$0" || exit 1
Executing tests from //tests:libtt_test_suite
-----------------------------------------------------------------------------
Platform 'tt' is experimental and not all JAX functionality may be correctly supported!
2026-09-24 04:40:06.718 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:228)
2026-09-24 04:40:06.718 | info     |             UMD | Cluster constructor started. (cluster.cpp:378)
2026-09-24 04:40:06.718 | info     |             UMD | Creating TopologyDiscovery for architecture: blackhole (topology_discovery.cpp:95)
2026-09-24 04:40:06.718 | info     |             UMD | Starting topology discovery. (topology_discovery.cpp:114)
2026-09-24 04:40:06.725 | info     |             UMD | Established firmware bundle version: 19.13.1 (topology_discovery.cpp:574)
2026-09-24 04:40:06.725 | info     |             UMD | Completed topology discovery. (topology_discovery.cpp:118)
2026-09-24 04:40:06.725 | warning  |             UMD | Board 0x4613193403b has 1 chips, but expected 2 chips for board type p300. (cluster_descriptor.cpp:1232)
2026-09-24 04:40:06.725 | warning  |             UMD | Board 0x46131935046 has 1 chips, but expected 2 chips for board type p300. (cluster_descriptor.cpp:1232)
2026-09-24 04:40:06.764 | info     |             UMD | Opening local chip ids/PCIe ids: {0, 1}/[0, 3] and remote chip ids {} (cluster.cpp:162)
2026-09-24 04:40:06.764 | info     |             UMD | IOMMU: enabled (cluster.cpp:142)
2026-09-24 04:40:06.764 | info     |             UMD | KMD version: 2.10.0 (cluster.cpp:145)
2026-09-24 04:40:06.764 | info     |             UMD | Cluster constructor completed. (cluster.cpp:574)
2026-09-24 04:40:06.765 | info     |             UMD | Starting devices in cluster (cluster.cpp:1092)
2026-09-24 04:40:06.766 | info     |             UMD | Starting devices in cluster completed. (cluster.cpp:1100)
2026-09-24 04:40:06.813 | info     |     Distributed | Using auto discovery to generate mesh graph. (metal_env.cpp:437)
2026-09-24 04:40:06.813 | info     |     Distributed | Constructing control plane using auto-discovery (no mesh graph descriptor). (metal_env.cpp:499)
2026-09-24 04:40:06.813 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 04:40:06.813 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 04:40:06.813 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 04:40:06.813 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 04:40:06.814 | info     |          Fabric | Logical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {1:2} (topology_mapper_utils.cpp:2400)
2026-09-24 04:40:06.814 | info     |          Fabric | Physical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {1:2} (topology_mapper_utils.cpp:2408)
2026-09-24 04:40:09.516 | info     |           Metal | [Real-time profiler] Device 0 sync complete: 100 samples, frequency=1.350001 GHz, device_time_at_sync=6454455455928 cycles (realtime_profiler_manager.cpp:1390)
2026-09-24 04:40:09.517 | info     |           Metal | [Real-time profiler] Device 1 sync complete: 100 samples, frequency=1.350002 GHz, device_time_at_sync=4651919969104 cycles (realtime_profiler_manager.cpp:1390)
2026-09-24 04:40:09.527 | critical |          Always | TT_FATAL: Chip 0 logical eth core 0-9 connects to a remote mmio device (assert.hpp:104)
2026-09-24 04:40:09.527 | critical |          Always | TT_FATAL: Chip 0 logical eth core 0-8 connects to a remote mmio device (assert.hpp:104)
2026-09-24 04:40:09.528 | critical |          Always | TT_FATAL: Chip 1 logical eth core 0-3 connects to a remote mmio device (assert.hpp:104)
2026-09-24 04:40:09.528 | critical |          Always | TT_FATAL: Chip 1 logical eth core 0-2 connects to a remote mmio device (assert.hpp:104)
2026-09-24 04:40:09.645 | info     |           Metal | Fabric config changed from FabricConfig::DISABLED to FabricConfig::FABRIC_1D, reinitializing control plane (metal_env.cpp:333)
2026-09-24 04:40:09.645 | info     |     Distributed | Using auto discovery to generate mesh graph. (metal_env.cpp:437)
2026-09-24 04:40:09.645 | info     |     Distributed | Constructing control plane using auto-discovery (no mesh graph descriptor). (metal_env.cpp:499)
2026-09-24 04:40:09.645 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 04:40:09.645 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 04:40:09.645 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 04:40:09.645 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 04:40:09.645 | info     |          Fabric | Logical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {1:2} (topology_mapper_utils.cpp:2400)
2026-09-24 04:40:09.645 | info     |          Fabric | Physical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {1:2} (topology_mapper_utils.cpp:2408)
2026-09-24 04:40:09.671 | info     |           Metal | Initializing Fabric (fabric_firmware_initializer.cpp:296)
2026-09-24 04:40:10.594 | info     |           Metal | Fabric initialized on Device 0 (device.cpp:550)
2026-09-24 04:40:10.594 | info     |           Metal | Fabric initialized on Device 1 (device.cpp:550)
2026-09-24 04:40:10.594 | info     |           Metal | Fabric initialized on 2 devices (fabric_firmware_initializer.cpp:444)
2026-09-24 04:40:10.594 | info     |           Metal | Fabric Initialized with config FabricConfig::FABRIC_1D (fabric_firmware_initializer.cpp:313)
2026-09-24 04:40:12.178 | info     |           Metal | Enabling program cache on MeshDevice 1 (mesh_device.cpp:1081)
Using JAX 0.11.2 with 2 TT device(s) from jax_tt_plugin-0.1.0-py3-none-linux_x86_64.whl
..........                                                               [100%]
10 passed in 6.22s
2026-09-24 04:40:18.700 | info     |    BuildKernels | JIT cache stats: 0/101 hits (0.0%) [0 cached, 98 build-once dedup, 0 merged artifacts, 0 merged genfiles] (build_cache_telemetry.cpp:197)
2026-09-24 04:40:18.700 | info     |    BuildKernels | JIT telemetry: 2 registered TelemetryTokens (build_cache_telemetry.cpp:230)
2026-09-24 04:40:18.706 | info     |          Device | Closing user mode device drivers (tt_cluster.cpp:513)
2026-09-24 04:40:18.706 | info     |             UMD | Closing devices in cluster (cluster.cpp:1105)
2026-09-24 04:40:18.878 | info     |             UMD | Closing devices in cluster completed. (cluster.cpp:1114)
2026-09-24 04:40:18.878 | info     |             UMD | Cluster destructor started. (cluster.cpp:808)
2026-09-24 04:40:18.878 | info     |             UMD | Cluster destructor completed. (cluster.cpp:811)
